sample_uid,split,scene_id,sequence_id,frame_id,height_m,height_category,scene_category,gt_instances,pred_instances,iou_threshold,tp,fp,fn,precision,recall,f1,absolute_count_error
scene_09_50_000469,test,scene_09,scene_09,000469,50,50,scene_09,11,0,0.25,0,0,11,0.0,0.0,0.0,11
scene_09_50_000469,test,scene_09,scene_09,000469,50,50,scene_09,11,0,0.5,0,0,11,0.0,0.0,0.0,11
scene_09_50_000470,test,scene_09,scene_09,000470,50,50,scene_09,14,0,0.25,0,0,14,0.0,0.0,0.0,14
scene_09_50_000470,test,scene_09,scene_09,000470,50,50,scene_09,14,0,0.5,0,0,14,0.0,0.0,0.0,14
scene_09_50_000471,test,scene_09,scene_09,000471,50,50,scene_09,16,11,0.25,3,8,13,0.2727272727272727,0.1875,0.2222222222222222,5
scene_09_50_000471,test,scene_09,scene_09,000471,50,50,scene_09,16,11,0.5,0,11,16,0.0,0.0,0.0,5
scene_09_50_000472,test,scene_09,scene_09,000472,50,50,scene_09,17,7,0.25,3,4,14,0.42857142857142855,0.17647058823529413,0.25,10
scene_09_50_000472,test,scene_09,scene_09,000472,50,50,scene_09,17,7,0.5,1,6,16,0.14285714285714285,0.058823529411764705,0.08333333333333333,10
scene_09_50_000473,test,scene_09,scene_09,000473,50,50,scene_09,12,11,0.25,3,8,9,0.2727272727272727,0.25,0.2608695652173913,1
scene_09_50_000473,test,scene_09,scene_09,000473,50,50,scene_09,12,11,0.5,0,11,12,0.0,0.0,0.0,1
scene_09_50_000474,test,scene_09,scene_09,000474,50,50,scene_09,15,10,0.25,2,8,13,0.2,0.13333333333333333,0.16,5
scene_09_50_000474,test,scene_09,scene_09,000474,50,50,scene_09,15,10,0.5,0,10,15,0.0,0.0,0.0,5
scene_09_50_000475,test,scene_09,scene_09,000475,50,50,scene_09,11,7,0.25,3,4,8,0.42857142857142855,0.2727272727272727,0.3333333333333333,4
scene_09_50_000475,test,scene_09,scene_09,000475,50,50,scene_09,11,7,0.5,0,7,11,0.0,0.0,0.0,4
scene_09_50_000476,test,scene_09,scene_09,000476,50,50,scene_09,15,8,0.25,3,5,12,0.375,0.2,0.2608695652173913,7
scene_09_50_000476,test,scene_09,scene_09,000476,50,50,scene_09,15,8,0.5,0,8,15,0.0,0.0,0.0,7
scene_09_50_000477,test,scene_09,scene_09,000477,50,50,scene_09,13,5,0.25,3,2,10,0.6,0.23076923076923078,0.3333333333333333,8
scene_09_50_000477,test,scene_09,scene_09,000477,50,50,scene_09,13,5,0.5,0,5,13,0.0,0.0,0.0,8
scene_09_50_000478,test,scene_09,scene_09,000478,50,50,scene_09,14,7,0.25,0,7,14,0.0,0.0,0.0,7
scene_09_50_000478,test,scene_09,scene_09,000478,50,50,scene_09,14,7,0.5,0,7,14,0.0,0.0,0.0,7
scene_09_50_000479,test,scene_09,scene_09,000479,50,50,scene_09,18,0,0.25,0,0,18,0.0,0.0,0.0,18
scene_09_50_000479,test,scene_09,scene_09,000479,50,50,scene_09,18,0,0.5,0,0,18,0.0,0.0,0.0,18
scene_09_50_000507,test,scene_09,scene_09,000507,50,50,scene_09,12,1,0.25,0,1,12,0.0,0.0,0.0,11
scene_09_50_000507,test,scene_09,scene_09,000507,50,50,scene_09,12,1,0.5,0,1,12,0.0,0.0,0.0,11
scene_09_50_000508,test,scene_09,scene_09,000508,50,50,scene_09,13,2,0.25,0,2,13,0.0,0.0,0.0,11
scene_09_50_000508,test,scene_09,scene_09,000508,50,50,scene_09,13,2,0.5,0,2,13,0.0,0.0,0.0,11
scene_09_50_000509,test,scene_09,scene_09,000509,50,50,scene_09,11,16,0.25,0,16,11,0.0,0.0,0.0,5
scene_09_50_000509,test,scene_09,scene_09,000509,50,50,scene_09,11,16,0.5,0,16,11,0.0,0.0,0.0,5
scene_09_50_000510,test,scene_09,scene_09,000510,50,50,scene_09,14,8,0.25,2,6,12,0.25,0.14285714285714285,0.18181818181818182,6
scene_09_50_000510,test,scene_09,scene_09,000510,50,50,scene_09,14,8,0.5,0,8,14,0.0,0.0,0.0,6
scene_09_50_000511,test,scene_09,scene_09,000511,50,50,scene_09,11,8,0.25,1,7,10,0.125,0.09090909090909091,0.10526315789473684,3
scene_09_50_000511,test,scene_09,scene_09,000511,50,50,scene_09,11,8,0.5,0,8,11,0.0,0.0,0.0,3
scene_09_50_000512,test,scene_09,scene_09,000512,50,50,scene_09,9,7,0.25,0,7,9,0.0,0.0,0.0,2
scene_09_50_000512,test,scene_09,scene_09,000512,50,50,scene_09,9,7,0.5,0,7,9,0.0,0.0,0.0,2
scene_09_50_000513,test,scene_09,scene_09,000513,50,50,scene_09,8,8,0.25,1,7,7,0.125,0.125,0.125,0
scene_09_50_000513,test,scene_09,scene_09,000513,50,50,scene_09,8,8,0.5,0,8,8,0.0,0.0,0.0,0
scene_09_50_000679,test,scene_09,scene_09,000679,50,50,scene_09,8,8,0.25,0,8,8,0.0,0.0,0.0,0
scene_09_50_000679,test,scene_09,scene_09,000679,50,50,scene_09,8,8,0.5,0,8,8,0.0,0.0,0.0,0
scene_09_50_000680,test,scene_09,scene_09,000680,50,50,scene_09,6,6,0.25,0,6,6,0.0,0.0,0.0,0
scene_09_50_000680,test,scene_09,scene_09,000680,50,50,scene_09,6,6,0.5,0,6,6,0.0,0.0,0.0,0
scene_09_50_000681,test,scene_09,scene_09,000681,50,50,scene_09,10,9,0.25,0,9,10,0.0,0.0,0.0,1
scene_09_50_000681,test,scene_09,scene_09,000681,50,50,scene_09,10,9,0.5,0,9,10,0.0,0.0,0.0,1
scene_09_50_000682,test,scene_09,scene_09,000682,50,50,scene_09,8,7,0.25,0,7,8,0.0,0.0,0.0,1
scene_09_50_000682,test,scene_09,scene_09,000682,50,50,scene_09,8,7,0.5,0,7,8,0.0,0.0,0.0,1
scene_09_50_000683,test,scene_09,scene_09,000683,50,50,scene_09,9,4,0.25,0,4,9,0.0,0.0,0.0,5
scene_09_50_000683,test,scene_09,scene_09,000683,50,50,scene_09,9,4,0.5,0,4,9,0.0,0.0,0.0,5
scene_09_50_000698,test,scene_09,scene_09,000698,50,50,scene_09,17,3,0.25,0,3,17,0.0,0.0,0.0,14
scene_09_50_000698,test,scene_09,scene_09,000698,50,50,scene_09,17,3,0.5,0,3,17,0.0,0.0,0.0,14
scene_09_50_000699,test,scene_09,scene_09,000699,50,50,scene_09,19,12,0.25,0,12,19,0.0,0.0,0.0,7
scene_09_50_000699,test,scene_09,scene_09,000699,50,50,scene_09,19,12,0.5,0,12,19,0.0,0.0,0.0,7
scene_09_50_000700,test,scene_09,scene_09,000700,50,50,scene_09,15,8,0.25,0,8,15,0.0,0.0,0.0,7
scene_09_50_000700,test,scene_09,scene_09,000700,50,50,scene_09,15,8,0.5,0,8,15,0.0,0.0,0.0,7
scene_09_50_000701,test,scene_09,scene_09,000701,50,50,scene_09,16,7,0.25,0,7,16,0.0,0.0,0.0,9
scene_09_50_000701,test,scene_09,scene_09,000701,50,50,scene_09,16,7,0.5,0,7,16,0.0,0.0,0.0,9
scene_09_50_000702,test,scene_09,scene_09,000702,50,50,scene_09,16,5,0.25,0,5,16,0.0,0.0,0.0,11
scene_09_50_000702,test,scene_09,scene_09,000702,50,50,scene_09,16,5,0.5,0,5,16,0.0,0.0,0.0,11
scene_09_50_000703,test,scene_09,scene_09,000703,50,50,scene_09,16,8,0.25,0,8,16,0.0,0.0,0.0,8
scene_09_50_000703,test,scene_09,scene_09,000703,50,50,scene_09,16,8,0.5,0,8,16,0.0,0.0,0.0,8
scene_09_50_000704,test,scene_09,scene_09,000704,50,50,scene_09,10,9,0.25,0,9,10,0.0,0.0,0.0,1
scene_09_50_000704,test,scene_09,scene_09,000704,50,50,scene_09,10,9,0.5,0,9,10,0.0,0.0,0.0,1
scene_09_50_000705,test,scene_09,scene_09,000705,50,50,scene_09,9,5,0.25,0,5,9,0.0,0.0,0.0,4
scene_09_50_000705,test,scene_09,scene_09,000705,50,50,scene_09,9,5,0.5,0,5,9,0.0,0.0,0.0,4
scene_09_50_000706,test,scene_09,scene_09,000706,50,50,scene_09,8,10,0.25,0,10,8,0.0,0.0,0.0,2
scene_09_50_000706,test,scene_09,scene_09,000706,50,50,scene_09,8,10,0.5,0,10,8,0.0,0.0,0.0,2
scene_09_50_000707,test,scene_09,scene_09,000707,50,50,scene_09,10,6,0.25,0,6,10,0.0,0.0,0.0,4
scene_09_50_000707,test,scene_09,scene_09,000707,50,50,scene_09,10,6,0.5,0,6,10,0.0,0.0,0.0,4
scene_09_50_000708,test,scene_09,scene_09,000708,50,50,scene_09,11,12,0.25,0,12,11,0.0,0.0,0.0,1
scene_09_50_000708,test,scene_09,scene_09,000708,50,50,scene_09,11,12,0.5,0,12,11,0.0,0.0,0.0,1
scene_09_50_000709,test,scene_09,scene_09,000709,50,50,scene_09,14,4,0.25,0,4,14,0.0,0.0,0.0,10
scene_09_50_000709,test,scene_09,scene_09,000709,50,50,scene_09,14,4,0.5,0,4,14,0.0,0.0,0.0,10
scene_09_50_000710,test,scene_09,scene_09,000710,50,50,scene_09,15,4,0.25,0,4,15,0.0,0.0,0.0,11
scene_09_50_000710,test,scene_09,scene_09,000710,50,50,scene_09,15,4,0.5,0,4,15,0.0,0.0,0.0,11
scene_09_50_000711,test,scene_09,scene_09,000711,50,50,scene_09,10,6,0.25,0,6,10,0.0,0.0,0.0,4
scene_09_50_000711,test,scene_09,scene_09,000711,50,50,scene_09,10,6,0.5,0,6,10,0.0,0.0,0.0,4
scene_09_50_000712,test,scene_09,scene_09,000712,50,50,scene_09,15,5,0.25,0,5,15,0.0,0.0,0.0,10
scene_09_50_000712,test,scene_09,scene_09,000712,50,50,scene_09,15,5,0.5,0,5,15,0.0,0.0,0.0,10
